Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Morgaon,2024-05-23,413304,mr
Frequent power cuts in the evening.,Electricity,Negative,High,Malegaon,2025-05-12,413115,en
No water supply in the village since 1 days.,Water,Negative,High,Baramati,2024-08-12,413102,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Katphal,2025-07-20,413111,mr
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Katphal,2024-11-06,413111,mr
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Pandare,2024-12-22,413103,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Malegaon,2025-05-29,413115,mr
Village health worker is absent since 3 days.,Health,Negative,Medium,Nimbut,2025-05-05,413110,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Nimbut,2025-01-19,413110,en
Village road is damaged due to rain.,Road,Negative,Low,Malegaon,2025-01-18,413115,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Nimbut,2024-08-20,413110,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Pandare,2025-01-12,413103,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Supa,2024-10-22,413109,mr
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Morgaon,2025-05-23,413304,mr
Road construction is pending for months.,Road,Negative,Low,Supa,2025-01-19,413109,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2025-03-03,413304,mr
Road construction is pending for months.,Road,Negative,Low,Katphal,2024-05-01,413111,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Nimbut,2024-11-15,413110,mr
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Nimbut,2024-08-17,413110,mr
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Supa,2024-04-11,413109,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Supa,2025-06-17,413109,mr
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Supa,2025-01-24,413109,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Baramati,2025-05-23,413102,mr
Road construction is pending for months.,Road,Negative,Low,Pandare,2024-05-15,413103,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Nimbut,2025-09-09,413110,en
No doctor available at primary health center.,Health,Negative,Medium,Supa,2025-02-02,413109,en
Emergency ambulance did not arrive on time.,Health,Negative,High,Nimbut,2025-08-19,413110,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Morgaon,2024-05-15,413304,mr
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2024-02-19,413115,en
Drinking water tank is empty.,Water,Negative,High,Pandare,2024-07-20,413103,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-01-20,412306,mr
पाण्याचा टँकर आला नाही 4 दिवसांपासून.,Water,Negative,High,Malegaon,2025-09-15,413115,mr
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Baramati,2025-06-29,413102,mr
"Handpump is broken, villagers are suffering.",Water,Negative,High,Nimbut,2024-06-20,413110,en
Road construction is pending for months.,Road,Negative,Low,Baramati,2025-02-06,413102,en
The road from Indapur to nearby town is full of potholes.,Road,Negative,Low,Katphal,2024-08-09,413111,en
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Pandare,2024-04-09,413103,mr
Medicines are not available at PHC.,Health,Negative,High,Supa,2025-04-16,413109,en
Road construction is pending for months.,Road,Negative,Low,Nimbut,2024-12-01,413110,en
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Pandare,2024-04-06,413103,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Supa,2024-02-05,413109,mr
Road construction is pending for months.,Road,Negative,Low,Supa,2024-12-09,413109,en
Village health worker is absent since 6 days.,Health,Negative,Medium,Katphal,2024-02-01,413111,en
No doctor available at primary health center.,Health,Negative,Medium,Someshwar,2025-01-11,412306,en
Library in village remains closed.,Others,Negative,Low,Morgaon,2025-05-09,413304,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Morgaon,2024-09-14,413304,mr
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Supa,2024-04-12,413109,en
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2024-04-05,413110,en
The road from Bhigwan to nearby town is full of potholes.,Road,Negative,Low,Nimbut,2025-06-12,413110,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2025-07-25,413111,en
Road construction is pending for months.,Road,Negative,Low,Baramati,2024-01-16,413102,en
The road from Indapur to nearby town is full of potholes.,Road,Negative,Low,Pandare,2025-09-05,413103,en
Drinking water tank is empty.,Water,Negative,High,Katphal,2024-10-30,413111,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Katphal,2024-10-05,413111,mr
पाण्याचा टँकर आला नाही 9 दिवसांपासून.,Water,Negative,High,Someshwar,2024-05-26,412306,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Baramati,2024-08-20,413102,mr
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Supa,2025-03-25,413109,en
No doctor available at primary health center.,Health,Negative,High,Someshwar,2024-04-16,412306,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2025-05-30,412306,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Pandare,2024-03-13,413103,en
Road construction is pending for months.,Road,Negative,Low,Pandare,2024-08-24,413103,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Someshwar,2024-01-31,412306,mr
Road construction is pending for months.,Road,Negative,Low,Baramati,2025-08-31,413102,en
Library in village remains closed.,Others,Negative,Low,Someshwar,2024-06-06,412306,en
No water supply in the village since 10 days.,Water,Negative,High,Malegaon,2025-02-19,413115,en
Medicines are not available at PHC.,Health,Negative,High,Someshwar,2024-08-25,412306,en
The road from Baramati to nearby town is full of potholes.,Road,Negative,Low,Supa,2024-07-08,413109,en
No electricity for 5 hours continuously.,Electricity,Negative,High,Baramati,2024-10-24,413102,en
Medicines are not available at PHC.,Health,Negative,Medium,Malegaon,2024-06-03,413115,en
No doctor available at primary health center.,Health,Negative,High,Katphal,2025-07-27,413111,en
The road from Loni to nearby town is full of potholes.,Road,Negative,Low,Malegaon,2025-05-11,413115,en
Streetlights are not working at the chowk.,Others,Negative,Low,Pandare,2024-06-29,413103,en
No doctor available at primary health center.,Health,Negative,Medium,Katphal,2024-01-17,413111,en
Library in village remains closed.,Others,Negative,Low,Baramati,2025-05-05,413102,en
Playground is not maintained properly.,Others,Negative,Low,Pandare,2025-08-03,413103,en
Medicines are not available at PHC.,Health,Negative,High,Supa,2024-08-11,413109,en
Garbage is not collected regularly in Pandharpur.,Sanitation,Negative,Medium,Baramati,2024-09-02,413102,en
No doctor available at primary health center.,Health,Negative,High,Pandare,2024-09-28,413103,en
No electricity for 5 hours continuously.,Electricity,Negative,High,Supa,2025-07-23,413109,en
Village road is damaged due to rain.,Road,Negative,Low,Baramati,2025-08-16,413102,en
Playground is not maintained properly.,Others,Negative,Low,Baramati,2025-05-31,413102,en
Library in village remains closed.,Others,Negative,Low,Morgaon,2024-08-20,413304,en
Streetlights are not working at the chowk.,Others,Negative,Low,Nimbut,2025-01-27,413110,en
Electric transformer is not working in Jejuri.,Electricity,Negative,High,Someshwar,2024-01-11,412306,en
Garbage is not collected regularly in Indapur.,Sanitation,Negative,Medium,Baramati,2024-02-13,413102,en
Garbage is not collected regularly in Indapur.,Sanitation,Negative,Medium,Supa,2024-12-19,413109,en
पाण्याचा टँकर आला नाही 6 दिवसांपासून.,Water,Negative,High,Katphal,2025-03-29,413111,mr
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Katphal,2024-02-22,413111,mr
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Morgaon,2025-06-05,413304,mr
पाण्याचा टँकर आला नाही 4 दिवसांपासून.,Water,Negative,High,Nimbut,2024-08-25,413110,mr
"Handpump is broken, villagers are suffering.",Water,Negative,High,Supa,2025-02-06,413109,en
Playground is not maintained properly.,Others,Negative,Low,Baramati,2024-09-23,413102,en
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2024-03-19,413115,en
Playground is not maintained properly.,Others,Negative,Low,Pandare,2024-05-31,413103,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Katphal,2025-08-29,413111,mr
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Katphal,2025-03-07,413111,mr
Garbage is not collected regularly in Indapur.,Sanitation,Negative,Medium,Someshwar,2025-04-19,412306,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Someshwar,2024-09-08,412306,mr
The road from Indapur to nearby town is full of potholes.,Road,Negative,Low,Baramati,2025-04-29,413102,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Supa,2024-03-10,413109,en
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Morgaon,2025-09-02,413304,mr
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Katphal,2024-12-23,413111,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Supa,2025-04-05,413109,mr
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Malegaon,2025-07-19,413115,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Nimbut,2024-09-06,413110,mr
Medicines are not available at PHC.,Health,Negative,High,Someshwar,2025-05-23,412306,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Morgaon,2024-06-16,413304,mr
Playground is not maintained properly.,Others,Negative,Low,Supa,2024-09-02,413109,en
Electric transformer is not working in Loni.,Electricity,Negative,High,Someshwar,2024-01-16,412306,en
Village road is damaged due to rain.,Road,Negative,Low,Malegaon,2024-12-22,413115,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Katphal,2025-05-07,413111,mr
No electricity for 8 hours continuously.,Electricity,Negative,High,Katphal,2025-03-06,413111,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Supa,2025-03-26,413109,mr
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Supa,2024-08-12,413109,mr
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Nimbut,2024-02-16,413110,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Katphal,2024-08-11,413111,mr
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2024-06-26,413115,mr
Electric transformer is not working in Malegaon.,Electricity,Negative,High,Baramati,2025-08-29,413102,en
Village health worker is absent since 3 days.,Health,Negative,Medium,Pandare,2025-06-03,413103,en
Road construction is pending for months.,Road,Negative,Low,Pandare,2025-05-31,413103,en
Village road is damaged due to rain.,Road,Negative,Low,Malegaon,2024-04-01,413115,en
No water supply in the village since 2 days.,Water,Negative,High,Baramati,2024-06-29,413102,en
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Someshwar,2024-02-23,412306,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Morgaon,2024-01-19,413304,mr
Library in village remains closed.,Others,Negative,Low,Katphal,2025-08-29,413111,en
Village health worker is absent since 6 days.,Health,Negative,High,Supa,2024-08-05,413109,en
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2025-06-13,413110,en
पाण्याचा टँकर आला नाही 9 दिवसांपासून.,Water,Negative,High,Baramati,2024-04-16,413102,mr
Village health worker is absent since 8 days.,Health,Negative,Medium,Pandare,2025-06-16,413103,en
Playground is not maintained properly.,Others,Negative,Low,Baramati,2024-10-15,413102,en
Electric transformer is not working in Daund.,Electricity,Negative,High,Morgaon,2025-03-09,413304,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Supa,2025-05-29,413109,mr
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Katphal,2024-12-13,413111,mr
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Pandare,2025-01-02,413103,mr
"Handpump is broken, villagers are suffering.",Water,Negative,High,Supa,2025-07-28,413109,en
Garbage is not collected regularly in Malegaon.,Sanitation,Negative,Medium,Someshwar,2025-07-18,412306,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2025-02-10,413109,mr
Drinking water tank is empty.,Water,Negative,High,Morgaon,2024-03-08,413304,en
Village health worker is absent since 9 days.,Health,Negative,Medium,Katphal,2025-09-11,413111,en
No water supply in the village since 6 days.,Water,Negative,High,Morgaon,2024-03-04,413304,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Nimbut,2024-05-02,413110,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Someshwar,2025-03-11,412306,mr
Garbage is not collected regularly in Indapur.,Sanitation,Negative,Medium,Malegaon,2024-01-20,413115,en
No doctor available at primary health center.,Health,Negative,High,Supa,2024-03-25,413109,en
No water supply in the village since 9 days.,Water,Negative,High,Someshwar,2024-02-04,412306,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2025-04-07,413115,mr
Library in village remains closed.,Others,Negative,Low,Nimbut,2024-09-29,413110,en
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2024-02-14,413115,en
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Supa,2025-01-07,413109,mr
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2024-04-10,412306,en
Road construction is pending for months.,Road,Negative,Low,Supa,2024-01-08,413109,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Pandare,2025-04-15,413103,mr
Playground is not maintained properly.,Others,Negative,Low,Baramati,2025-04-21,413102,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Katphal,2025-05-19,413111,mr
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Pandare,2025-09-01,413103,mr
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Malegaon,2025-03-07,413115,mr
Village road is damaged due to rain.,Road,Negative,Low,Supa,2025-04-03,413109,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Nimbut,2024-10-04,413110,mr
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2025-02-21,413304,en
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Someshwar,2024-04-19,412306,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2024-06-11,412306,en
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Malegaon,2024-12-07,413115,mr
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Baramati,2024-12-12,413102,mr
No doctor available at primary health center.,Health,Negative,High,Malegaon,2025-03-02,413115,en
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Nimbut,2024-01-09,413110,mr
Garbage is not collected regularly in Indapur.,Sanitation,Negative,Medium,Katphal,2024-03-13,413111,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Baramati,2024-09-09,413102,mr
Medicines are not available at PHC.,Health,Negative,High,Supa,2024-04-23,413109,en
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Pandare,2024-11-02,413103,mr
पाण्याचा टँकर आला नाही 5 दिवसांपासून.,Water,Negative,High,Malegaon,2024-10-01,413115,mr
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Someshwar,2024-10-25,412306,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Pandare,2024-05-31,413103,mr
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Baramati,2025-03-26,413102,mr
Village road is damaged due to rain.,Road,Negative,Low,Pandare,2024-03-13,413103,en
The road from Loni to nearby town is full of potholes.,Road,Negative,Low,Morgaon,2024-03-22,413304,en
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Someshwar,2024-02-04,412306,en
Electric transformer is not working in Baramati.,Electricity,Negative,High,Pandare,2024-01-20,413103,en
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Morgaon,2024-12-26,413304,mr
Road construction is pending for months.,Road,Negative,Low,Morgaon,2024-09-01,413304,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Morgaon,2024-08-26,413304,mr
Village road is damaged due to rain.,Road,Negative,Low,Nimbut,2024-05-15,413110,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-12-01,412306,mr
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Pandare,2024-03-04,413103,mr
No doctor available at primary health center.,Health,Negative,High,Someshwar,2024-04-21,412306,en
Garbage is not collected regularly in Loni.,Sanitation,Negative,Medium,Someshwar,2024-09-09,412306,en
Road construction is pending for months.,Road,Negative,Low,Morgaon,2024-09-26,413304,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2024-08-18,413115,mr
पाण्याचा टँकर आला नाही 9 दिवसांपासून.,Water,Negative,High,Katphal,2024-10-01,413111,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Someshwar,2024-04-16,412306,mr
Playground is not maintained properly.,Others,Negative,Low,Someshwar,2024-04-04,412306,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2024-08-21,413111,mr
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-01-21,413102,en
Garbage is not collected regularly in Pandharpur.,Sanitation,Negative,Medium,Pandare,2024-07-25,413103,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Baramati,2025-04-26,413102,en
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Pandare,2024-08-10,413103,mr
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2025-05-02,413115,en
Electric transformer is not working in Someshwar.,Electricity,Negative,High,Someshwar,2024-12-12,412306,en
Streetlights are not working at the chowk.,Others,Negative,Low,Someshwar,2025-02-27,412306,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Malegaon,2024-07-16,413115,mr
Streetlights are not working at the chowk.,Others,Negative,Low,Morgaon,2024-06-07,413304,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Supa,2024-02-27,413109,mr
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Baramati,2024-12-12,413102,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Malegaon,2025-06-04,413115,mr
Garbage is not collected regularly in Loni.,Sanitation,Negative,Medium,Malegaon,2025-01-08,413115,en
Electric transformer is not working in Someshwar.,Electricity,Negative,High,Supa,2024-02-18,413109,en
Library in village remains closed.,Others,Negative,Low,Baramati,2024-11-01,413102,en
Emergency ambulance did not arrive on time.,Health,Negative,High,Baramati,2024-10-14,413102,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Pandare,2024-07-05,413103,mr
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Pandare,2024-07-08,413103,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2024-05-16,413304,mr
Library in village remains closed.,Others,Negative,Low,Baramati,2024-03-04,413102,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2025-06-11,413102,mr
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Supa,2025-08-24,413109,mr
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Katphal,2024-05-11,413111,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2024-08-12,413109,mr
पाण्याचा टँकर आला नाही 8 दिवसांपासून.,Water,Negative,High,Pandare,2025-06-03,413103,mr
Streetlights are not working at the chowk.,Others,Negative,Low,Nimbut,2024-11-17,413110,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2024-05-05,413115,mr
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-08-30,412306,mr
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-10-19,412306,mr
Frequent power cuts in the evening.,Electricity,Negative,High,Someshwar,2024-03-02,412306,en
No water supply in the village since 5 days.,Water,Negative,High,Morgaon,2024-08-13,413304,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2025-01-20,413304,mr
Drinking water tank is empty.,Water,Negative,High,Someshwar,2025-01-24,412306,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Katphal,2025-05-01,413111,mr
Medicines are not available at PHC.,Health,Negative,Medium,Morgaon,2024-11-19,413304,en
Village road is damaged due to rain.,Road,Negative,Low,Katphal,2024-05-02,413111,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Baramati,2024-07-15,413102,en
Road construction is pending for months.,Road,Negative,Low,Morgaon,2024-11-29,413304,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Supa,2024-01-06,413109,mr
Medicines are not available at PHC.,Health,Negative,High,Morgaon,2024-08-24,413304,en
Road construction is pending for months.,Road,Negative,Low,Malegaon,2025-07-09,413115,en
Streetlights are not working at the chowk.,Others,Negative,Low,Someshwar,2025-08-27,412306,en
Village health worker is absent since 4 days.,Health,Negative,High,Supa,2025-04-12,413109,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Malegaon,2025-03-27,413115,mr
The road from Baramati to nearby town is full of potholes.,Road,Negative,Low,Katphal,2024-08-24,413111,en
Garbage is not collected regularly in Pandharpur.,Sanitation,Negative,Medium,Nimbut,2024-04-24,413110,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Nimbut,2024-01-01,413110,mr
Emergency ambulance did not arrive on time.,Health,Negative,High,Baramati,2025-08-31,413102,en
The road from Malegaon to nearby town is full of potholes.,Road,Negative,Low,Someshwar,2024-04-17,412306,en
Road construction is pending for months.,Road,Negative,Low,Pandare,2024-04-22,413103,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Someshwar,2025-03-30,412306,mr
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Katphal,2024-07-08,413111,en
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Malegaon,2024-07-31,413115,en
Road construction is pending for months.,Road,Negative,Low,Nimbut,2024-09-07,413110,en
The road from Indapur to nearby town is full of potholes.,Road,Negative,Low,Supa,2025-03-09,413109,en
Road construction is pending for months.,Road,Negative,Low,Baramati,2025-07-21,413102,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2024-06-10,413102,mr
Village road is damaged due to rain.,Road,Negative,Low,Malegaon,2025-08-16,413115,en
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Someshwar,2025-01-12,412306,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Baramati,2024-01-08,413102,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Pandare,2024-07-09,413103,mr
Village road is damaged due to rain.,Road,Negative,Low,Nimbut,2024-02-06,413110,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Katphal,2024-03-24,413111,mr
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Malegaon,2025-04-29,413115,en
The road from Daund to nearby town is full of potholes.,Road,Negative,Low,Supa,2025-04-15,413109,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Someshwar,2024-04-10,412306,mr
Village road is damaged due to rain.,Road,Negative,Low,Baramati,2025-01-07,413102,en
Streetlights are not working at the chowk.,Others,Negative,Low,Baramati,2024-02-03,413102,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Pandare,2025-06-17,413103,mr
Frequent power cuts in the evening.,Electricity,Negative,High,Malegaon,2024-11-09,413115,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2025-08-07,413111,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Pandare,2025-07-25,413103,mr
Library in village remains closed.,Others,Negative,Low,Pandare,2025-03-09,413103,en
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-11-06,413102,en
Village health worker is absent since 5 days.,Health,Negative,Medium,Morgaon,2024-02-18,413304,en
No water supply in the village since 6 days.,Water,Negative,High,Nimbut,2025-04-02,413110,en
Library in village remains closed.,Others,Negative,Low,Nimbut,2025-05-27,413110,en
Village health worker is absent since 6 days.,Health,Negative,High,Supa,2024-03-14,413109,en
Library in village remains closed.,Others,Negative,Low,Katphal,2025-04-22,413111,en
Garbage is not collected regularly in Pandharpur.,Sanitation,Negative,Medium,Supa,2024-08-22,413109,en
Emergency ambulance did not arrive on time.,Health,Negative,High,Supa,2024-08-19,413109,en
Village health worker is absent since 9 days.,Health,Negative,High,Pandare,2024-10-08,413103,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Someshwar,2025-04-01,412306,en
No electricity for 4 hours continuously.,Electricity,Negative,High,Katphal,2025-05-20,413111,en
Streetlights are not working at the chowk.,Others,Negative,Low,Baramati,2024-03-01,413102,en
Road construction is pending for months.,Road,Negative,Low,Someshwar,2024-01-07,412306,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2024-03-17,413111,mr
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2024-04-02,413111,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Katphal,2024-08-25,413111,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Nimbut,2024-12-13,413110,mr
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Supa,2024-01-03,413109,en
Medicines are not available at PHC.,Health,Negative,Medium,Supa,2025-01-03,413109,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Morgaon,2025-04-20,413304,mr
Drinking water tank is empty.,Water,Negative,High,Pandare,2025-05-14,413103,en
Drinking water tank is empty.,Water,Negative,High,Pandare,2025-08-18,413103,en
No electricity for 7 hours continuously.,Electricity,Negative,High,Katphal,2024-12-25,413111,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Supa,2025-08-24,413109,mr
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Pandare,2024-09-07,413103,mr
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Baramati,2025-01-09,413102,mr
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Supa,2025-03-13,413109,mr
No doctor available at primary health center.,Health,Negative,Medium,Pandare,2024-09-02,413103,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Someshwar,2024-01-26,412306,mr
पाण्याचा टँकर आला नाही 2 दिवसांपासून.,Water,Negative,High,Morgaon,2024-03-24,413304,mr
Streetlights are not working at the chowk.,Others,Negative,Low,Pandare,2024-11-11,413103,en
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Malegaon,2024-10-03,413115,mr
Road construction is pending for months.,Road,Negative,Low,Malegaon,2024-08-13,413115,en
